,Clothing ID,Age,Title,Review Text,Rating,Recommended IND,Positive Feedback Count,Division Name,Department Name,Class Name,Review Length,tokenized,tokenized_unlist,Polarity Score,Neutral Score,Negative Score,Positive Score,Sentiment,label,Reviews_pos_tags,Label_tags
7857,1078,55,Beautiful but not flattering,"Beautiful but not flattering Beautifully made, gorgeous colors. i wanted to love this, but it just wasn't flattering - too ""a"" shaped, not enough drape to flatter.",3,0,0,General,Dresses,Dresses,163,"['beautiful', 'flattering', 'beautifully', 'made', 'gorgeous', 'colors', 'wanted', 'love', 'flattering', 'shaped', 'enough', 'drape', 'flatter']",beautiful flattering beautifully made gorgeous colors wanted love flattering shaped enough drape flatter,0.9674,0.216,0.0,0.784,Positive,1,"[('beautiful', 'JJ'), ('flattering', 'VBG'), ('beautifully', 'RB'), ('made', 'VBN'), ('gorgeous', 'JJ'), ('colors', 'NNS'), ('wanted', 'VBD'), ('love', 'IN'), ('flattering', 'VBG'), ('``', '``'), (""''"", ""''""), ('shaped', 'VBD'), ('enough', 'JJ'), ('drape', 'NN'), ('flatter', 'NN')]","['gorgeous colors', 'enough drape flatter']"
7860,1078,57,Very unique!,Very unique! Beautiful dress! wanted something different. even bought the hat ! very flattering.,5,1,2,General,Dresses,Dresses,96,"['unique', 'beautiful', 'dress', 'wanted', 'something', 'different', 'even', 'bought', 'hat', 'flattering']",unique beautiful dress wanted something different even bought hat flattering,0.7351,0.563,0.0,0.437,Positive,1,"[('unique', 'JJ'), ('beautiful', 'JJ'), ('dress', 'NN'), ('wanted', 'VBD'), ('something', 'NN'), ('different', 'JJ'), ('even', 'RB'), ('bought', 'VBD'), ('hat', 'NNS'), ('flattering', 'VBG')]","['beautiful dress', 'something different']"
7866,1078,37,Huge!,Huge! The dress fits me like a tent and i looked pregnant. maybe this style isn't for me and i even sized down. otherwise the quality was lovely with an embroidered area on the top and the fabric style mixing was great and very trendy. it didn't work for me for the right person this is a very well made dress.,3,1,3,General,Dresses,Dresses,310,"['huge', 'dress', 'fits', 'like', 'tent', 'looked', 'pregnant', 'maybe', 'style', 'even', 'sized', 'otherwise', 'quality', 'lovely', 'embroidered', 'area', 'top', 'fabric', 'style', 'mixing', 'great', 'trendy', 'work', 'right', 'person', 'well', 'made', 'dress']",huge dress fits like tent looked pregnant maybe style even sized otherwise quality lovely embroidered area top fabric style mixing great trendy work right person well made dress,0.9393,0.57,0.0,0.43,Positive,1,"[('huge', 'JJ'), ('dress', 'NN'), ('fits', 'NNS'), ('like', 'IN'), ('tent', 'NN'), ('looked', 'VBD'), ('pregnant', 'JJ'), ('maybe', 'RB'), ('style', 'NN'), ('even', 'RB'), ('sized', 'VBD'), ('otherwise', 'RB'), ('quality', 'NN'), ('lovely', 'RB'), ('embroidered', 'JJ'), ('area', 'NN'), ('top', 'JJ'), ('fabric', 'NN'), ('style', 'NN'), ('mixing', 'VBG'), ('great', 'JJ'), ('trendy', 'JJ'), ('work', 'NN'), ('right', 'RB'), ('person', 'NN'), ('well', 'RB'), ('made', 'VBD'), ('dress', 'NN')]","['tent pregnant', 'quality lovely embroidered', 'area top', 'fabric style mixing great trendy', 'style mixing great']"
7867,1078,46, ,"  I want to love this dress. the colors and the fabric are absolutely beautiful. it is definitely a swing-dress. much wider than i expected...and i sized down. there is also a strange pooch in the shape around the middle. i am keeping it because i am in love with the the colors and print, and it looks very flattering when paired with a black denim jacket, just not alone.",3,1,1,General,Dresses,Dresses,373,"['want', 'love', 'dress', 'colors', 'fabric', 'absolutely', 'beautiful', 'definitely', 'swing', 'dress', 'much', 'wider', 'expected', 'sized', 'also', 'strange', 'pooch', 'shape', 'around', 'middle', 'keeping', 'love', 'colors', 'print', 'looks', 'flattering', 'paired', 'black', 'denim', 'jacket', 'alone']",want love dress colors fabric absolutely beautiful definitely swing dress much wider expected sized also strange pooch shape around middle keeping love colors print looks flattering paired black denim jacket alone,0.9466,0.5,0.083,0.417,Positive,1,"[('want', 'JJ'), ('love', 'NN'), ('dress', 'NN'), ('colors', 'NNS'), ('fabric', 'VBP'), ('absolutely', 'RB'), ('beautiful', 'JJ'), ('definitely', 'RB'), ('swing-dress', 'JJ'), ('much', 'JJ'), ('wider', 'NN'), ('expected', 'VBD'), ('...', ':'), ('sized', 'VBN'), ('also', 'RB'), ('strange', 'JJ'), ('pooch', 'NN'), ('shape', 'NN'), ('around', 'IN'), ('middle', 'JJ'), ('keeping', 'VBG'), ('love', 'JJ'), ('colors', 'NNS'), ('print', 'VBP'), ('looks', 'VBZ'), ('flattering', 'VBG'), ('paired', 'JJ'), ('black', 'JJ'), ('denim', 'NN'), ('jacket', 'NN'), ('alone', 'RB')]","['want love dress', 'absolutely beautiful', 'much wider', 'strange pooch shape', 'paired black denim']"
7871,1078,41,Pretty dress but bad fit,Pretty dress but bad fit I bought this dress on super sale and it was such a great deal. sadly it's going back although i sized down i still feel like the dress is shapeless and tent like. no wonder why the store had so many still at the price i paid. the details on the dress are pretty and it's high quality. just wish the fit was better.,3,0,0,General,Dresses,Dresses,340,"['pretty', 'dress', 'bad', 'fit', 'bought', 'dress', 'super', 'sale', 'great', 'deal', 'sadly', 'going', 'back', 'although', 'sized', 'still', 'feel', 'like', 'dress', 'shapeless', 'tent', 'like', 'wonder', 'store', 'many', 'still', 'price', 'paid', 'details', 'dress', 'pretty', 'high', 'quality', 'wish', 'fit', 'better']",pretty dress bad fit bought dress super sale great deal sadly going back although sized still feel like dress shapeless tent like wonder store many still price paid details dress pretty high quality wish fit better,0.9709,0.398,0.104,0.498,Positive,1,"[('pretty', 'RB'), ('dress', 'JJ'), ('bad', 'JJ'), ('fit', 'NN'), ('bought', 'VBD'), ('dress', 'NN'), ('super', 'JJ'), ('sale', 'NN'), ('great', 'JJ'), ('deal', 'NN'), ('sadly', 'RB'), ('going', 'VBG'), ('back', 'RB'), ('although', 'IN'), ('sized', 'VBN'), ('still', 'RB'), ('feel', 'VB'), ('like', 'IN'), ('dress', 'NN'), ('shapeless', 'JJ'), ('tent', 'NN'), ('like', 'IN'), ('wonder', 'JJR'), ('store', 'NN'), ('many', 'JJ'), ('still', 'RB'), ('price', 'NN'), ('paid', 'VBD'), ('details', 'NNS'), ('dress', 'NN'), ('pretty', 'RB'), ('high', 'JJ'), ('quality', 'NN'), ('wish', 'JJ'), ('fit', 'NN'), ('better', 'RBR')]","['dress bad fit', 'dress super', 'sale great', 'dress shapeless', 'wonder store many', 'details dress pretty high quality', 'dress pretty high', 'wish fit']"
7873,1078,57,Beautiful but very large.,"Beautiful but very large. I usually wear size 4 for dress, but this is the first time ever i have to go down to size 0, and it fits perfectly. well made, maybe a bit stiff around armholes, nothing major. i love the length as i don't like to show my knees. great color combinations, although this supposed to be a summer dress, it looks great for fall, just need to add a jacket, a pair of boots and i'm good to go, feeling pretty!",5,1,1,General,Dresses,Dresses,430,"['beautiful', 'large', 'usually', 'wear', 'size', 'dress', 'first', 'time', 'ever', 'size', 'fits', 'perfectly', 'well', 'made', 'maybe', 'bit', 'stiff', 'around', 'armholes', 'nothing', 'major', 'love', 'length', 'like', 'show', 'knees', 'great', 'color', 'combinations', 'although', 'supposed', 'summer', 'dress', 'looks', 'great', 'fall', 'need', 'add', 'jacket', 'pair', 'boots', 'good', 'feeling', 'pretty']",beautiful large usually wear size dress first time ever size fits perfectly well made maybe bit stiff around armholes nothing major love length like show knees great color combinations although supposed summer dress looks great fall need add jacket pair boots good feeling pretty,0.9754,0.516,0.051,0.433,Positive,1,"[('beautiful', 'JJ'), ('large', 'JJ'), ('usually', 'RB'), ('wear', 'VBP'), ('size', 'NN'), ('4', 'CD'), ('dress', 'NN'), ('first', 'JJ'), ('time', 'NN'), ('ever', 'RB'), ('go', 'VB'), ('size', 'NN'), ('0', 'CD'), ('fits', 'NNS'), ('perfectly', 'RB'), ('well', 'RB'), ('made', 'VBN'), ('maybe', 'RB'), ('bit', 'VB'), ('stiff', 'JJ'), ('around', 'IN'), ('armholes', 'NNS'), ('nothing', 'NN'), ('major', 'JJ'), ('love', 'NN'), ('length', 'NN'), ('like', 'IN'), ('show', 'NN'), ('knees', 'VBZ'), ('great', 'JJ'), ('color', 'NN'), ('combinations', 'NNS'), ('although', 'IN'), ('supposed', 'VBN'), ('summer', 'NN'), ('dress', 'NN'), ('looks', 'VBZ'), ('great', 'JJ'), ('fall', 'NN'), ('need', 'VBP'), ('add', 'VBP'), ('jacket', 'NN'), ('pair', 'NN'), ('boots', 'NNS'), (""'m"", 'VBP'), ('good', 'JJ'), ('go', 'VB'), ('feeling', 'JJ'), ('pretty', 'RB')]","['wear size', 'dress first', 'bit stiff', 'nothing major', 'great color combinations', 'great fall', 'jacket pair', 'boots i', 'good go']"
7878,1078,39,Heavy tenty swingy,"Heavy tenty swingy Not a summer dress even though the photos make it seem like it's for hot weather. the weight and layers and synthetic fabric is very substantial. it is a bit scratchy where there is maroon fabric, but not intolerable. i love this dress but it's beyond a-line, it's a tent. i'm keeping and will wear for fall with a long sweater to flatten the fullness that's seen in profile. for my body type (top heavy, thick shoulders/back/upper arms), i chose the smaller of my size range. definitely size down if",4,1,4,General,Dresses,Dresses,519,"['heavy', 'tenty', 'swingy', 'summer', 'dress', 'even', 'though', 'photos', 'make', 'seem', 'like', 'hot', 'weather', 'weight', 'layers', 'synthetic', 'fabric', 'substantial', 'bit', 'scratchy', 'maroon', 'fabric', 'intolerable', 'love', 'dress', 'beyond', 'line', 'tent', 'keeping', 'wear', 'fall', 'long', 'sweater', 'flatten', 'fullness', 'seen', 'profile', 'body', 'type', 'top', 'heavy', 'thick', 'shoulders', 'back', 'upper', 'arms', 'chose', 'smaller', 'size', 'range', 'definitely', 'size']",heavy tenty swingy summer dress even though photos make seem like hot weather weight layers synthetic fabric substantial bit scratchy maroon fabric intolerable love dress beyond line tent keeping wear fall long sweater flatten fullness seen profile body type top heavy thick shoulders back upper arms chose smaller size range definitely size,0.9001,0.783,0.0,0.217,Positive,1,"[('heavy', 'JJ'), ('tenty', 'NN'), ('swingy', 'JJ'), ('summer', 'NN'), ('dress', 'NN'), ('even', 'RB'), ('though', 'IN'), ('photos', 'NNS'), ('make', 'VBP'), ('seem', 'VBP'), ('like', 'IN'), ('hot', 'JJ'), ('weather', 'NN'), ('weight', 'VBD'), ('layers', 'NNS'), ('synthetic', 'JJ'), ('fabric', 'JJ'), ('substantial', 'JJ'), ('bit', 'NN'), ('scratchy', 'JJ'), ('maroon', 'NN'), ('fabric', 'NN'), ('intolerable', 'JJ'), ('love', 'NN'), ('dress', 'NN'), ('beyond', 'IN'), ('a-line', 'JJ'), ('tent', 'JJ'), (""'m"", 'VBP'), ('keeping', 'VBG'), ('wear', 'JJ'), ('fall', 'NN'), ('long', 'RB'), ('sweater', 'RB'), ('flatten', 'JJ'), ('fullness', 'NN'), (""'s"", 'POS'), ('seen', 'VBN'), ('profile', 'NN'), ('body', 'NN'), ('type', 'JJ'), ('top', 'JJ'), ('heavy', 'NN'), ('thick', 'JJ'), ('shoulders/back/upper', 'NN'), ('arms', 'NNS'), ('chose', 'VBP'), ('smaller', 'JJR'), ('size', 'NN'), ('range', 'NN'), ('definitely', 'RB'), ('size', 'NN')]","['heavy tenty swingy summer', 'tenty swingy', 'hot weather', 'weight layers synthetic', 'bit scratchy', 'fabric intolerable', 'dress a-line', 'wear fall', 'flatten fullness', 'type top', 'heavy thick', 'smaller size range']"
7879,1078,26, ,"  For reference i am 5'5 about 140lb, typically wear a size 6. luckily they had it in-store around me so i as able to try it on. i read the reviews and first tired on a size down, but it still didn't look quite right on me. i was daring and tried on another size down, and i'm glad i did! there is no lie that it runs large! it's a beautiful dress and heavy enough to wear into the fall! i will say it does still have a little ""tenty"" shape to it, but it's just the style of the dress.",5,1,1,General,Dresses,Dresses,485,"['reference', 'typically', 'wear', 'size', 'luckily', 'store', 'around', 'able', 'try', 'read', 'reviews', 'first', 'tired', 'size', 'still', 'look', 'quite', 'right', 'daring', 'tried', 'another', 'size', 'glad', 'lie', 'runs', 'large', 'beautiful', 'dress', 'heavy', 'enough', 'wear', 'fall', 'say', 'still', 'little', 'tenty', 'shape', 'style', 'dress']",reference typically wear size luckily store around able try read reviews first tired size still look quite right daring tried another size glad lie runs large beautiful dress heavy enough wear fall say still little tenty shape style dress,0.8773,0.682,0.058,0.26,Positive,1,"[('reference', 'NN'), (""5'5"", 'CD'), ('140lb', 'CD'), ('typically', 'RB'), ('wear', 'JJ'), ('size', 'NN'), ('6.', 'CD'), ('luckily', 'RB'), ('in-store', 'NN'), ('around', 'IN'), ('able', 'JJ'), ('try', 'NN'), ('read', 'VB'), ('reviews', 'NNS'), ('first', 'RB'), ('tired', 'VBD'), ('size', 'NN'), ('still', 'RB'), ('look', 'VBP'), ('quite', 'RB'), ('right', 'JJ'), ('daring', 'VBG'), ('tried', 'JJ'), ('another', 'DT'), ('size', 'NN'), (""'m"", 'VBP'), ('glad', 'JJ'), ('lie', 'NN'), ('runs', 'VBZ'), ('large', 'JJ'), ('beautiful', 'JJ'), ('dress', 'NN'), ('heavy', 'JJ'), ('enough', 'RB'), ('wear', 'JJ'), ('fall', 'NNS'), ('say', 'VBP'), ('still', 'RB'), ('little', 'JJ'), ('``', '``'), ('tenty', 'NN'), (""''"", ""''""), ('shape', 'NN'), ('style', 'NN'), ('dress', 'NN')]","['wear size', 'in-store able', 'quite right', 'lie large', 'dress heavy', 'wear fall', 'little tenty']"
7881,1078,47,Beautiful dress,Beautiful dress This dress drapes very well and is flattering to many different body shapes. the colors give it the flexibility to wear from summer into fall. gorgeously designed!,5,1,1,General,Dresses,Dresses,179,"['beautiful', 'dress', 'dress', 'drapes', 'well', 'flattering', 'many', 'different', 'body', 'shapes', 'colors', 'give', 'flexibility', 'wear', 'summer', 'fall', 'gorgeously', 'designed']",beautiful dress dress drapes well flattering many different body shapes colors give flexibility wear summer fall gorgeously designed,0.9186,0.481,0.0,0.519,Positive,1,"[('beautiful', 'JJ'), ('dress', 'NN'), ('dress', 'NN'), ('drapes', 'NNS'), ('well', 'RB'), ('flattering', 'VBG'), ('many', 'JJ'), ('different', 'JJ'), ('body', 'NN'), ('shapes', 'VBZ'), ('colors', 'NNS'), ('give', 'VBP'), ('flexibility', 'NN'), ('wear', 'VBP'), ('summer', 'NN'), ('fall', 'NN'), ('gorgeously', 'RB'), ('designed', 'VBN')]","['beautiful dress dress', 'many different body']"
7884,1078,46,It's a tent!,"It's a tent! As much as i buy from retailer, this is my first review. the pictures do not accurately show how large this dress is in person. i wanted something that was a bit flowy, but this was a reminder of little house on the prairie. the most unflattering dress ever and since it's only available online, i'm not interested enough to try a smaller size.",1,0,10,General,Dresses,Dresses,357,"['tent', 'much', 'buy', 'retailer', 'first', 'review', 'pictures', 'accurately', 'show', 'large', 'dress', 'person', 'wanted', 'something', 'bit', 'flowy', 'reminder', 'little', 'house', 'prairie', 'unflattering', 'dress', 'ever', 'since', 'available', 'online', 'interested', 'enough', 'try', 'smaller', 'size']",tent much buy retailer first review pictures accurately show large dress person wanted something bit flowy reminder little house prairie unflattering dress ever since available online interested enough try smaller size,0.4019,0.917,0.0,0.083,Positive,1,"[(""'s"", 'POS'), ('tent', 'NN'), ('much', 'JJ'), ('buy', 'NN'), ('retailer', 'NN'), ('first', 'RB'), ('review', 'NN'), ('pictures', 'NNS'), ('accurately', 'RB'), ('show', 'VBP'), ('large', 'JJ'), ('dress', 'NN'), ('person', 'NN'), ('wanted', 'VBD'), ('something', 'NN'), ('bit', 'NN'), ('flowy', 'JJ'), ('reminder', 'NN'), ('little', 'JJ'), ('house', 'NN'), ('prairie', 'NN'), ('unflattering', 'VBG'), ('dress', 'NN'), ('ever', 'RB'), ('since', 'IN'), ('available', 'JJ'), ('online', 'JJ'), (""'m"", 'VBP'), ('interested', 'JJ'), ('enough', 'RB'), ('try', 'VBP'), ('smaller', 'JJR'), ('size', 'NN')]","['much buy retailer', 'large dress person', 'something bit flowy', 'little house prairie', 'ever available', 'online i', 'smaller size']"
7885,1078,34,Great casual and dressy!,"Great casual and dressy! This dress is fantastic.  i can't help but think the other gals who gave this a low rating were perhaps more petite and didn't size down.  i am 5'8 and usually a 10-12.  purchased the 8 and it is great!  fits wonderful and looks so nice for the price.  i like clothing that doesn't touch me and this does a great job, without looking sloppy.",4,1,0,General,Dresses,Dresses,366,"['great', 'casual', 'dressy', 'dress', 'fantastic', 'help', 'think', 'gals', 'gave', 'low', 'rating', 'perhaps', 'petite', 'size', 'usually', 'purchased', 'great', 'fits', 'wonderful', 'looks', 'nice', 'price', 'like', 'clothing', 'touch', 'great', 'job', 'without', 'looking', 'sloppy']",great casual dressy dress fantastic help think gals gave low rating perhaps petite size usually purchased great fits wonderful looks nice price like clothing touch great job without looking sloppy,0.9805,0.388,0.041,0.571,Positive,1,"[('great', 'JJ'), ('casual', 'JJ'), ('dressy', 'NN'), ('dress', 'NN'), ('fantastic', 'JJ'), ('ca', 'MD'), (""n't"", 'RB'), ('help', 'VB'), ('think', 'VB'), ('gals', 'NNS'), ('gave', 'VBD'), ('low', 'JJ'), ('rating', 'NN'), ('perhaps', 'RB'), ('petite', 'JJ'), ('size', 'NN'), (""5'8"", 'CD'), ('usually', 'RB'), ('10-12.', 'CD'), ('purchased', 'VBD'), ('8', 'CD'), ('great', 'JJ'), ('fits', 'NNS'), ('wonderful', 'JJ'), ('looks', 'NNS'), ('nice', 'JJ'), ('price', 'NN'), ('like', 'IN'), ('clothing', 'NN'), ('touch', 'JJ'), ('great', 'JJ'), ('job', 'NN'), ('without', 'IN'), ('looking', 'VBG'), ('sloppy', 'JJ')]","['great casual dressy', 'gals low', 'rating perhaps petite', 'fits wonderful', 'looks nice', 'clothing touch great']"
7886,1078,62, ,  I bought this dress as a surprise for my daughter. she was very happy with it.,5,1,0,General,Dresses,Dresses,80,"['bought', 'dress', 'surprise', 'daughter', 'happy']",bought dress surprise daughter happy,0.7003,0.341,0.0,0.659,Positive,1,"[('bought', 'VBD'), ('dress', 'NN'), ('surprise', 'NN'), ('daughter', 'NN'), ('happy', 'JJ')]",[]
8037,1078,56,Super comfortable,"Super comfortable I read the online reviews that the dress ran large so ordered size 6 and 8. i'm normally an 8 or 10, and the 6 fit perfectly. dress hangs beautifully and lining is really soft. appears that it will wrinkle somewhat easily but i am keeping it anyway since it's so beautiful. the bell sleeves are really cute! i highly recommend the dress.",5,1,0,General Petite,Dresses,Dresses,355,"['super', 'comfortable', 'read', 'online', 'reviews', 'dress', 'ran', 'large', 'ordered', 'size', 'normally', 'fit', 'perfectly', 'dress', 'hangs', 'beautifully', 'lining', 'really', 'soft', 'appears', 'wrinkle', 'somewhat', 'easily', 'keeping', 'anyway', 'since', 'beautiful', 'bell', 'sleeves', 'really', 'cute', 'highly', 'recommend', 'dress']",super comfortable read online reviews dress ran large ordered size normally fit perfectly dress hangs beautifully lining really soft appears wrinkle somewhat easily keeping anyway since beautiful bell sleeves really cute highly recommend dress,0.9833,0.455,0.0,0.545,Positive,1,"[('super', 'RBR'), ('comfortable', 'JJ'), ('read', 'JJ'), ('online', 'NN'), ('reviews', 'NNS'), ('dress', 'NN'), ('ran', 'VBD'), ('large', 'JJ'), ('ordered', 'VBD'), ('size', 'NN'), ('6', 'CD'), ('8.', 'CD'), (""'m"", 'VBP'), ('normally', 'RB'), ('8', 'CD'), ('10', 'CD'), ('6', 'CD'), ('fit', 'NN'), ('perfectly', 'RB'), ('dress', 'JJ'), ('hangs', 'NNS'), ('beautifully', 'RB'), ('lining', 'VBG'), ('really', 'RB'), ('soft', 'JJ'), ('appears', 'VBZ'), ('wrinkle', 'VBP'), ('somewhat', 'RB'), ('easily', 'RB'), ('keeping', 'VBG'), ('anyway', 'RB'), ('since', 'IN'), ('beautiful', 'NN'), ('bell', 'NN'), ('sleeves', 'VBZ'), ('really', 'RB'), ('cute', 'JJ'), ('highly', 'RB'), ('recommend', 'VBP'), ('dress', 'NN')]","['comfortable read online', 'dress large', 'really soft', 'sleeves really cute', 'recommend dress']"
8041,1078,51,Feeling pink!,Feeling pink! Beautiful flowing feminine dress. runs large; size down. hot pink color. well made.,5,1,0,General Petite,Dresses,Dresses,97,"['feeling', 'pink', 'beautiful', 'flowing', 'feminine', 'dress', 'runs', 'large', 'size', 'hot', 'pink', 'color', 'well', 'made']",feeling pink beautiful flowing feminine dress runs large size hot pink color well made,0.7579,0.595,0.0,0.405,Positive,1,"[('feeling', 'VBG'), ('pink', 'JJ'), ('beautiful', 'JJ'), ('flowing', 'VBG'), ('feminine', 'JJ'), ('dress', 'NN'), ('runs', 'VBZ'), ('large', 'JJ'), ('size', 'NN'), ('hot', 'JJ'), ('pink', 'NN'), ('color', 'NN'), ('well', 'RB'), ('made', 'VBD')]","['feminine dress', 'runs large', 'hot pink color']"
8047,1078,23,Pretty in pink,"Pretty in pink I love this dress. i am usually a size 4, but ordered this in size 0 and it fits perfect! great for any season, and can dress up or dress down. the pink is the perfect shade - i feel like i'm elle woods!",5,1,0,General Petite,Dresses,Dresses,218,"['pretty', 'pink', 'love', 'dress', 'usually', 'size', 'ordered', 'size', 'fits', 'perfect', 'great', 'season', 'dress', 'dress', 'pink', 'perfect', 'shade', 'feel', 'like', 'elle', 'woods']",pretty pink love dress usually size ordered size fits perfect great season dress dress pink perfect shade feel like elle woods,0.9698,0.412,0.0,0.588,Positive,1,"[('pretty', 'RB'), ('pink', 'JJ'), ('love', 'IN'), ('dress', 'NN'), ('usually', 'RB'), ('size', 'NN'), ('4', 'CD'), ('ordered', 'VBD'), ('size', 'NN'), ('0', 'CD'), ('fits', 'NNS'), ('perfect', 'JJ'), ('great', 'JJ'), ('season', 'NN'), ('dress', 'NN'), ('dress', 'NN'), ('pink', 'VBP'), ('perfect', 'JJ'), ('shade', 'JJ'), ('feel', 'NN'), ('like', 'IN'), (""'m"", 'VBP'), ('elle', 'JJ'), ('woods', 'NNS')]","['pink love dress', 'great season', ""i 'm elle""]"
8049,1078,46,Love this dress,Love this dress I just received this dress tried it on. i totally fell in love with it . the pink is just beautiful.it's a little big so i will definitely will be exchanging it for a size 14 . you would absolutely love this dress.,5,1,31,General Petite,Dresses,Dresses,230,"['love', 'dress', 'received', 'dress', 'tried', 'totally', 'fell', 'love', 'pink', 'beautiful', 'little', 'big', 'definitely', 'exchanging', 'size', 'would', 'absolutely', 'love', 'dress']",love dress received dress tried totally fell love pink beautiful little big definitely exchanging size would absolutely love dress,0.9634,0.425,0.0,0.575,Positive,1,"[('love', 'NN'), ('dress', 'NN'), ('received', 'VBD'), ('dress', 'RB'), ('tried', 'VBN'), ('totally', 'RB'), ('fell', 'VBD'), ('love', 'VB'), ('pink', 'NN'), ('beautiful.it', 'NN'), (""'s"", 'POS'), ('little', 'JJ'), ('big', 'JJ'), ('definitely', 'RB'), ('exchanging', 'VBG'), ('size', 'NN'), ('14', 'CD'), ('would', 'MD'), ('absolutely', 'RB'), ('love', 'VB'), ('dress', 'NN')]",['beautiful.it little']
8055,1078,44,Great dress,Great dress This is a beautiful dress! the photos do not do it justice - the pink is gorgeous! it's also very comfortable but runs large. i'm usually a 6 or an 8 but purchased a 4.,5,1,0,General Petite,Dresses,Dresses,180,"['great', 'dress', 'beautiful', 'dress', 'photos', 'justice', 'pink', 'gorgeous', 'also', 'comfortable', 'runs', 'large', 'usually', 'purchased']",great dress beautiful dress photos justice pink gorgeous also comfortable runs large usually purchased,0.9623,0.325,0.0,0.675,Positive,1,"[('great', 'JJ'), ('dress', 'NN'), ('beautiful', 'JJ'), ('dress', 'NN'), ('photos', 'NNS'), ('justice', 'NN'), ('pink', 'VBP'), ('gorgeous', 'JJ'), ('also', 'RB'), ('comfortable', 'JJ'), ('runs', 'NNS'), ('large', 'JJ'), (""'m"", 'VBP'), ('usually', 'RB'), ('6', 'CD'), ('8', 'CD'), ('purchased', 'VBD'), ('4', 'CD')]","['great dress beautiful dress', 'dress beautiful', 'also comfortable', 'runs large']"
8059,1078,46,Wrinkled!,Wrinkled! The dress arrived wrinkled so i washed it and pressed it. it looked beautiful until i sat down. the entire dress was wrinkled and it looked terrible all day. can't wear this again.,1,0,0,General Petite,Dresses,Dresses,190,"['wrinkled', 'dress', 'arrived', 'wrinkled', 'washed', 'pressed', 'looked', 'beautiful', 'sat', 'entire', 'dress', 'wrinkled', 'looked', 'terrible', 'day', 'wear']",wrinkled dress arrived wrinkled washed pressed looked beautiful sat entire dress wrinkled looked terrible day wear,0.2023,0.667,0.148,0.186,Positive,1,"[('wrinkled', 'JJ'), ('dress', 'NN'), ('arrived', 'VBD'), ('wrinkled', 'VBN'), ('washed', 'NNS'), ('pressed', 'VBD'), ('looked', 'JJ'), ('beautiful', 'JJ'), ('sat', 'NN'), ('entire', 'JJ'), ('dress', 'NN'), ('wrinkled', 'VBD'), ('looked', 'VBD'), ('terrible', 'JJ'), ('day', 'NN'), ('ca', 'MD'), (""n't"", 'RB'), ('wear', 'VB')]","['entire dress', 'terrible day']"
8065,1078,62,Pretty in pink,Pretty in pink I love this dress! easy breezy flowy comfortable & pink! fits a true medium ...would recommend to anyone. makes me a little flirty!,5,1,0,General Petite,Dresses,Dresses,146,"['pretty', 'pink', 'love', 'dress', 'easy', 'breezy', 'flowy', 'comfortable', 'pink', 'fits', 'true', 'medium', 'would', 'recommend', 'anyone', 'makes', 'little', 'flirty']",pretty pink love dress easy breezy flowy comfortable pink fits true medium would recommend anyone makes little flirty,0.9596,0.352,0.0,0.648,Positive,1,"[('pretty', 'RB'), ('pink', 'JJ'), ('love', 'NN'), ('dress', 'NN'), ('easy', 'JJ'), ('breezy', 'NN'), ('flowy', 'NN'), ('comfortable', 'JJ'), ('pink', 'JJ'), ('fits', 'NNS'), ('true', 'JJ'), ('medium', 'NN'), ('...', ':'), ('would', 'MD'), ('recommend', 'VB'), ('anyone', 'NN'), ('makes', 'VBZ'), ('little', 'JJ'), ('flirty', 'JJ')]","['pink love dress', 'breezy flowy comfortable', 'fits true']"
8067,1078,32,Perfect postpartum dress!,"Perfect postpartum dress! I bought this dress for a couple fall weddings to hide my postpartum belly. it was only available in a size 8 -- which is my typical size. i was nervous based on the reviews it would still be too big, but it fits perfectly. i am 5'10"", so i assume my frame can handle the drappiness well!",5,1,0,General Petite,Dresses,Dresses,314,"['perfect', 'postpartum', 'dress', 'bought', 'dress', 'couple', 'fall', 'weddings', 'hide', 'postpartum', 'belly', 'available', 'size', 'typical', 'size', 'nervous', 'based', 'reviews', 'would', 'still', 'big', 'fits', 'perfectly', 'assume', 'frame', 'handle', 'drappiness', 'well']",perfect postpartum dress bought dress couple fall weddings hide postpartum belly available size typical size nervous based reviews would still big fits perfectly assume frame handle drappiness well,0.802,0.625,0.103,0.272,Positive,1,"[('perfect', 'JJ'), ('postpartum', 'NN'), ('dress', 'NN'), ('bought', 'VBD'), ('dress', 'JJ'), ('couple', 'NN'), ('fall', 'NN'), ('weddings', 'NNS'), ('hide', 'VBP'), ('postpartum', 'NN'), ('belly', 'RB'), ('available', 'JJ'), ('size', 'NN'), ('8', 'CD'), ('--', ':'), ('typical', 'JJ'), ('size', 'NN'), ('nervous', 'JJ'), ('based', 'VBN'), ('reviews', 'NNS'), ('would', 'MD'), ('still', 'RB'), ('big', 'JJ'), ('fits', 'NNS'), ('perfectly', 'RB'), (""5'10"", 'CD'), (""''"", ""''""), ('assume', 'NN'), ('frame', 'NN'), ('handle', 'JJ'), ('drappiness', 'NN'), ('well', 'RB')]","['perfect postpartum dress', 'dress couple fall', 'available size', 'typical size', 'nervous based reviews', 'still big', 'frame handle drappiness']"
